,Car_Name,kms_driven,fuel_type,transmission,ownership,manufacture,engine,Seats,car_prices_in_rupee
23,Jeep Compass 2.0 Limited Plus BSIV,"15,414 kms",Diesel,Manual,1st Owner,2019,1956 cc,5 Seats,15.88 Lakh
24,Hyundai Grand i10 1.2 Kappa Magna BSIV,"21,239 kms",Petrol,Manual,1st Owner,2018,1197 cc,5 Seats,5.41 Lakh
25,Maruti Alto K10 LXI,"62,361 kms",Petrol,Manual,1st Owner,2014,998 cc,5 Seats,2.23 Lakh
26,Hyundai Verna 1.6 VTVT S Option,"79,329 kms",Petrol,Manual,2nd Owner,2015,1591 cc,5 Seats,5.88 Lakh
27,Hyundai Tucson GLS AT,"11,945 kms",Petrol,Automatic,1st Owner,2021,1999 cc,5 Seats,22.78 Lakh
28,Maruti Swift Dzire VXI 1.2,"51,324 kms",Petrol,Manual,1st Owner,2018,1197 cc,5 Seats,6.12 Lakh
29,Nissan Magnite XV Premium,"5,717 kms",Petrol,Manual,1st Owner,2021,999 cc,5 Seats,7.44 Lakh
30,Honda City i VTEC CVT VX,"46,417 kms",Petrol,Automatic,1st Owner,2016,1497 cc,5 Seats,8.39 Lakh
31,Honda Amaze S i-Vtech,"1,00,161 kms",Petrol,Manual,1st Owner,2015,1198 cc,5 Seats,4.20 Lakh
32,Hyundai Grand i10 Sportz,"35,424 kms",Petrol,Manual,1st Owner,2016,1197 cc,5 Seats,4.91 Lakh
33,Hyundai EON Era Plus,"51,085 kms",Petrol,Manual,1st Owner,2017,814 cc,5 Seats,2.93 Lakh
34,Maruti Alto 800 LXI,"30,983 kms",Petrol,Manual,1st Owner,2016,796 cc,5 Seats,2.98 Lakh
35,Renault KWID RXL,"32,681 kms",Petrol,Manual,1st Owner,2016,799 cc,5 Seats,2.60 Lakh
36,Hyundai EON Magna Plus,"57,581 kms",Petrol,Manual,2nd Owner,2014,814 cc,5 Seats,2.38 Lakh
37,Honda Jazz 1.2 V AT i VTEC,"39,821 kms",Petrol,Automatic,1st Owner,2016,1199 cc,5 Seats,6.05 Lakh
38,Maruti Alto 800 LXI,"21,186 kms",Petrol,Manual,1st Owner,2018,796 cc,5 Seats,3.23 Lakh
39,Renault KWID RXL,"34,972 kms",Petrol,Manual,1st Owner,2018,799 cc,5 Seats,3.26 Lakh
40,Honda Amaze S i-Vtech,"46,623 kms",Petrol,Manual,2nd Owner,2015,1198 cc,5 Seats,4.21 Lakh
41,Kia Seltos GTX Plus,"18,557 kms",Petrol,Manual,1st Owner,2019,1353 cc,5 Seats,15.53 Lakh
42,Jeep Compass 2.0 Limited,"58,463 kms",Diesel,Manual,1st Owner,2017,1956 cc,5 Seats,12.43 Lakh
43,MG Hector Plus Sharp DCT,"5,000 kms",Petrol,Automatic,1st Owner,2020,1451 cc,6 Seats,18.50 Lakh
44,Tata Harrier XZ BSIV,"66,000 kms",Diesel,Manual,1st Owner,2019,1956 cc,5 Seats,15.90 Lakh
45,Renault Duster Petrol RXS CVT,"14,000 kms",Petrol,Automatic,1st Owner,2019,1498 cc,5 Seats,8.90 Lakh
46,BMW 5 Series 520d Luxury Line,"61,000 kms",Diesel,Automatic,1st Owner,2019,1995 cc,5 Seats,43 Lakh
47,Hyundai i20 1.4 Magna Executive,"65,392 kms",Diesel,Manual,1st Owner,2017,1396 cc,5 Seats,6 Lakh
48,Mercedes-Benz CLA 200 CGI Sport,"37,000 kms",Petrol,Automatic,1st Owner,2018,1991 cc,5 Seats,27 Lakh
49,Maruti XL6 Zeta,"9,000 kms",Petrol,Manual,1st Owner,2020,1462 cc,6 Seats,10.90 Lakh
50,Hyundai Grand i10 1.2 Kappa Sportz Option AT,"32,000 kms",Petrol,Automatic,1st Owner,2017,1197 cc,5 Seats,5.90 Lakh
51,Mahindra XUV500 W8 2WD,"68,000 kms",Diesel,Manual,1st Owner,2012,2179 cc,7 Seats,6.50 Lakh
52,Hyundai i20 Magna 1.2,"13,000 kms",Petrol,Manual,1st Owner,2017,1197 cc,5 Seats,6.75 Lakh
53,Datsun RediGO AMT 1.0 T Option,"30,000 kms",Petrol,Automatic,1st Owner,2020,999 cc,5 Seats,3.70 Lakh
54,Honda Brio VX AT,"34,300 kms",Petrol,Automatic,1st Owner,2015,1198 cc,5 Seats,5.25 Lakh
55,Honda City i VTEC CVT SV,"45,000 kms",Petrol,Automatic,1st Owner,2015,1497 cc,5 Seats,7.25 Lakh
56,Toyota Corolla Altis GL MT,"37,000 kms",Petrol,Manual,1st Owner,2014,1798 cc,5 Seats,8.50 Lakh
57,Jeep Compass 1.4 Sport,"50,000 kms",Petrol,Manual,1st Owner,2018,1368 cc,5 Seats,14 Lakh
58,Volvo XC60 D4 Summum,"1,05,241 kms",Diesel,Automatic,1st Owner,2015,1985 cc,5 Seats,15 Lakh
59,Toyota Corolla Altis 1.8 G,"54,000 kms",Petrol,Manual,1st Owner,2019,1798 cc,5 Seats,13.90 Lakh
60,Hyundai Verna VTVT 1.6 SX,"19,600 kms",Petrol,Manual,1st Owner,2019,1591 cc,5 Seats,8.90 Lakh
61,Audi A4 2.0 TDI Technology Edition,"48,000 kms",Diesel,Automatic,1st Owner,2015,1968 cc,5 Seats,16.90 Lakh
62,Audi Q3 2.0 TDI,"69,500 kms",Diesel,Automatic,1st Owner,2012,1968 cc,5 Seats,13.90 Lakh
63,BMW 5 Series 530d,"71,000 kms",Diesel,Automatic,2nd Owner,2012,2993 cc,5 Seats,15 Lakh
64,Porsche Cayenne S Diesel,"48,894 kms",Diesel,Automatic,1st Owner,2014,4134 cc,5 Seats,45 Lakh
65,Maruti A-Star Zxi,"46,257 kms",Petrol,Manual,3rd Owner,2008,998 cc,5 Seats,1.53 Lakh
66,Ford Ecosport 1.5 DV5 MT Titanium,"78,264 kms",Diesel,Manual,2nd Owner,2015,1498 cc,5 Seats,5.09 Lakh
67,Honda Jazz 1.2 S AT i VTEC,"42,451 kms",Petrol,Automatic,1st Owner,2016,1199 cc,5 Seats,5.46 Lakh
68,Volkswagen Vento Diesel Highline,"1,31,861 kms",Diesel,Manual,2nd Owner,2012,1598 cc,5 Seats,2.73 Lakh
69,Maruti Wagon R VXI BS IV,"1,28,004 kms",Petrol,Manual,2nd Owner,2012,998 cc,5 Seats,1.80 Lakh
70,Chevrolet Beat Diesel PS,"1,50,349 kms",Diesel,Manual,1st Owner,2012,936 cc,5 Seats,1.10 Lakh
71,Maruti Wagon R VXI BS IV,"29,033 kms",Petrol,Manual,1st Owner,2017,998 cc,5 Seats,3.69 Lakh
72,BMW 3 Series 320d Luxury Line,"99,000 kms",Diesel,Automatic,1st Owner,2015,1995 cc,5 Seats,13.50 Lakh
73,Renault KWID RXL,"47,000 kms",Petrol,Manual,1st Owner,2018,799 cc,5 Seats,2.75 Lakh
74,Maruti Baleno 1.3 Sigma,"35,000 kms",Diesel,Manual,1st Owner,2018,1248 cc,5 Seats,5.50 Lakh
75,Mercedes-Benz C-Class C 220 CDI BE COR,"58,000 kms",Diesel,Automatic,1st Owner,2013,2143 cc,5 Seats,9.75 Lakh
76,Honda City S,"48,000 kms",Petrol,Manual,1st Owner,2012,1497 cc,5 Seats,4 Lakh
77,Honda Amaze VX AT i-Vtech,"45,000 kms",Petrol,Automatic,1st Owner,2014,1198 cc,5 Seats,4.75 Lakh
78,Hyundai EON D Lite,"60,000 kms",Petrol,Manual,2nd Owner,2012,814 cc,5 Seats,1.90 Lakh
79,Hyundai i20 Magna Optional 1.2,"23,000 kms",Petrol,Manual,1st Owner,2014,1197 cc,5 Seats,4.65 Lakh
80,Hyundai Grand i10 1.2 Kappa Era,"45,000 kms",Petrol,Manual,1st Owner,2019,1197 cc,5 Seats,4.60 Lakh
81,Hyundai i10 Magna 1.1L,"45,000 kms",Petrol,Manual,1st Owner,2014,1086 cc,5 Seats,3.25 Lakh
82,Maruti Ertiga VDI,"58,000 kms",Diesel,Manual,1st Owner,2013,1248 cc,7 Seats,5.25 Lakh
83,Hyundai i20 1.2 Spotz,"48,000 kms",Petrol,Manual,1st Owner,2018,1197 cc,5 Seats,6.25 Lakh
84,BMW 2 Series 220i M Sport,"18,000 kms",Petrol,Automatic,1st Owner,2021,1998 cc,5 Seats,40 Lakh
85,Skoda Kushaq 1.0 TSI Style 6 Airbags AT,"16,000 kms",Petrol,Automatic,1st Owner,2022,999 cc,5 Seats,16.75 Lakh
86,Honda City i-VTEC VX,"24,000 kms",Petrol,Manual,1st Owner,2019,1497 cc,5 Seats,10 Lakh
87,MG Hector Plus Select Diesel MT 7 STR,"36,000 kms",Diesel,Manual,1st Owner,2021,1956 cc,7 Seats,17.90 Lakh
88,Jeep Compass 1.4 Limited Plus,"35,000 kms",Petrol,Automatic,2nd Owner,2019,1368 cc,5 Seats,13.90 Lakh
89,Honda Amaze E Petrol BSIV,"64,000 kms",Petrol,Manual,1st Owner,2019,1199 cc,5 Seats,6.10 Lakh
90,Maruti Vitara Brezza VDi,"72,000 kms",Diesel,Manual,1st Owner,2017,1248 cc,5 Seats,7.75 Lakh
91,Hyundai Grand i10 Magna,"29,900 kms",Petrol,Manual,1st Owner,2015,1197 cc,5 Seats,4.60 Lakh
92,Mahindra XUV700 AX5 Diesel AT,"20,000 kms",Diesel,Automatic,1st Owner,2022,2198 cc,5 Seats,20.91 Lakh
93,Tata Indigo VX BSIV,"1,60,000 kms",Diesel,Manual,1st Owner,2013,1396 cc,5 Seats,3.10 Lakh
94,Tata Tiago XZ Plus,"16,000 kms",Petrol,Manual,1st Owner,2020,1199 cc,5 Seats,5.65 Lakh
95,Honda WR-V i-VTEC VX,"17,000 kms",Petrol,Manual,1st Owner,2019,1199 cc,5 Seats,9 Lakh
96,Lexus NX 300h,"1,11,000 kms",Petrol,Automatic,1st Owner,2018,2499 cc,5 Seats,42 Lakh
97,Mercedes-Benz M-Class ML 250 CDI,"38,000 kms",Diesel,Automatic,2nd Owner,2015,2143 cc,5 Seats,28.50 Lakh
98,Honda Jazz 1.5 SV i DTEC,"32,000 kms",Diesel,Manual,1st Owner,2015,1498 cc,5 Seats,5.50 Lakh
99,Volkswagen Polo 1.2 MPI Comfortline,"67,000 kms",Petrol,Manual,1st Owner,2015,1198 cc,5 Seats,4.50 Lakh
100,Ford Ecosport 1.5 Petrol Titanium AT,"50,000 kms",Petrol,Automatic,1st Owner,2016,1496 cc,5 Seats,6.75 Lakh
101,Maruti Swift VDI BSIV,"1,10,000 kms",Diesel,Manual,2nd Owner,2010,1248 cc,5 Seats,1.80 Lakh
102,Hyundai Verna VTVT 1.6 AT EX,"51,000 kms",Petrol,Automatic,1st Owner,2017,1591 cc,5 Seats,7.75 Lakh
103,Hyundai Grand i10 1.2 CRDi Sportz,"83,000 kms",Diesel,Manual,1st Owner,2017,1186 cc,5 Seats,5.50 Lakh
104,Audi Q3 35 TDI Quattro Premium,"38,000 kms",Diesel,Automatic,1st Owner,2016,1968 cc,5 Seats,24 Lakh
105,Hyundai Creta 1.6 SX Automatic Diesel,"58,000 kms",Diesel,Automatic,1st Owner,2018,1582 cc,5 Seats,13.25 Lakh
106,Hyundai Creta 1.6 SX,"36,000 kms",Petrol,Manual,1st Owner,2018,1591 cc,5 Seats,11 Lakh
107,Volkswagen Vento 1.0 TSI Highline AT,"23,500 kms",Petrol,Automatic,1st Owner,2020,999 cc,5 Seats,10.50 Lakh
108,Hyundai i20 1.2 Magna Executive,"60,000 kms",Petrol,Manual,1st Owner,2017,1197 cc,5 Seats,6.50 Lakh
109,Skoda Superb LK 1.8 TSI AT,"18,000 kms",Petrol,Automatic,1st Owner,2018,1798 cc,5 Seats,25 Lakh
110,Honda Amaze V Petrol BSIV,"36,500 kms",Petrol,Manual,1st Owner,2017,1199 cc,5 Seats,6 Lakh
111,Skoda Superb Sportline,"25,000 kms",Petrol,Automatic,1st Owner,2021,1984 cc,5 Seats,31 Lakh
112,Kia Seltos HTX IVT,"20,500 kms",Petrol,Automatic,1st Owner,2020,1497 cc,5 Seats,15.75 Lakh
113,Honda Amaze S i-Vtech,"30,000 kms",Petrol,Manual,1st Owner,2015,1198 cc,5 Seats,4.50 Lakh
114,Hyundai i20 Magna 1.2,"59,000 kms",Petrol,Manual,1st Owner,2017,1197 cc,5 Seats,5.90 Lakh
115,BMW X1 sDrive 20d xLine,"80,000 kms",Diesel,Automatic,1st Owner,2014,1995 cc,5 Seats,14.50 Lakh
116,Hyundai Xcent 1.2 CRDi E Plus,"50,000 kms",Diesel,Manual,2nd Owner,2017,1186 cc,5 Seats,3.80 Lakh
117,Tata Harrier XZAS Plus Kaziranga Edition AT,"32,000 kms",Diesel,Automatic,1st Owner,2021,1956 cc,5 Seats,21 Lakh
118,Hyundai i10 Era 1.1 iTech SE,"1,20,000 kms",Petrol,Manual,2nd Owner,2012,1086 cc,5 Seats,2.61 Lakh
119,Land Rover Discovery 2.0 R-Dynamic HSE,"33,000 kms",Petrol,Automatic,1st Owner,2021,1997 cc,7 Seats,1.10 Crore
120,Mini 3 DOOR Cooper S,"6,900 kms",Petrol,Automatic,1st Owner,2019,1998 cc,4 Seats,42 Lakh
121,Tata Harrier XZA Plus Kaziranga Edition AT,"4,500 kms",Diesel,Automatic,1st Owner,2022,1956 cc,5 Seats,22.50 Lakh
122,Volvo S90 D4 Inscription BSIV,"51,000 kms",Diesel,Automatic,1st Owner,2018,1969 cc,5 Seats,42 Lakh
123,Kia Seltos GTX Plus AT D,"12,000 kms",Diesel,Automatic,1st Owner,2022,1493 cc,5 Seats,19.75 Lakh
124,Maruti Vitara Brezza ZDi Plus,"37,000 kms",Diesel,Manual,1st Owner,2018,1248 cc,5 Seats,9.50 Lakh
125,Hyundai Verna SX Opt Diesel,"35,000 kms",Diesel,Manual,1st Owner,2021,1493 cc,5 Seats,14.51 Lakh
126,Maruti Wagon R VXI Optional,"80,000 kms",Petrol,Manual,2nd Owner,2016,998 cc,5 Seats,3 Lakh
127,Hyundai Grand i10 Magna,"60,000 kms",Petrol,Manual,1st Owner,2016,1197 cc,5 Seats,4.60 Lakh
128,Honda Amaze VX CVT,"10,000 kms",Petrol,Automatic,1st Owner,2022,1199 cc,5 Seats,9.15 Lakh
129,Maruti Ignis Zeta AMT,"59,385 kms",Petrol,Automatic,1st Owner,2019,1197 cc,5 Seats,5.50 Lakh
130,Jaguar XF 3.0 Litre S Premium Luxury,"51,000 kms",Diesel,Automatic,2nd Owner,2012,2993 cc,5 Seats,17 Lakh
131,Mahindra XUV500 AT W6 1.99 mHawk,"74,000 kms",Diesel,Automatic,1st Owner,2017,1997 cc,7 Seats,9.90 Lakh
132,Tata Nexon 1.2 Revotron XMA,"29,000 kms",Petrol,Automatic,1st Owner,2020,1198 cc,5 Seats,8.51 Lakh
133,Jeep Compass Model S 4X4 Diesel AT,"12,200 kms",Diesel,Automatic,1st Owner,2021,1956 cc,5 Seats,27.50 Lakh
134,Hyundai Grand i10 1.2 Kappa Sportz Option AT,"40,000 kms",Petrol,Automatic,3rd Owner,2019,1197 cc,5 Seats,5.50 Lakh
135,Hyundai Verna CRDi 1.6 SX,"58,000 kms",Diesel,Manual,1st Owner,2018,1582 cc,5 Seats,9.51 Lakh
136,Toyota Innova Crysta 2.8 ZX AT BSIV,"75,000 kms",Diesel,Automatic,2nd Owner,2019,2755 cc,7 Seats,19.90 Lakh
137,Land Rover Discovery Sport TD4 HSE 7S,"72,000 kms",Diesel,Automatic,1st Owner,2018,1999 cc,7 Seats,35.50 Lakh
138,Ford Aspire 1.2 Ti-VCT Titanium,"23,400 kms",Petrol,Manual,1st Owner,2017,1196 cc,5 Seats,5.50 Lakh
139,Ford Aspire 1.2 Ti-VCT Ambiente,"59,300 kms",Petrol,Manual,1st Owner,2017,1196 cc,5 Seats,3.90 Lakh
140,Hyundai Creta 1.4 CRDi S,"72,000 kms",Diesel,Manual,1st Owner,2016,1396 cc,5 Seats,8.90 Lakh
141,Maruti Swift Dzire LDI,"67,000 kms",Diesel,Manual,1st Owner,2017,1248 cc,5 Seats,4.51 Lakh
142,Honda Amaze S CVT i-VTEC,"33,500 kms",Petrol,Automatic,1st Owner,2018,1199 cc,5 Seats,7.25 Lakh
143,Hyundai Creta SX Executive,"17,000 kms",Petrol,Manual,2nd Owner,2021,1497 cc,5 Seats,12.75 Lakh
144,Volkswagen Ameo 1.5 TDI Highline AT,"33,000 kms",Diesel,Automatic,1st Owner,2016,1498 cc,5 Seats,6.90 Lakh
145,Volkswagen Polo GT TSI,"49,000 kms",Petrol,Automatic,1st Owner,2015,1197 cc,5 Seats,6.75 Lakh
146,Hyundai Grand i10 AT Asta,"26,000 kms",Petrol,Automatic,1st Owner,2015,1197 cc,5 Seats,5.65 Lakh
147,Hyundai Venue SX Opt iMT,"14,500 kms",Petrol,Manual,1st Owner,2020,998 cc,5 Seats,10 Lakh
148,Kia Seltos GTX Plus AT D,"10,000 kms",Diesel,Automatic,1st Owner,2022,1493 cc,5 Seats,19.75 Lakh
149,MG Hector Plus Sharp DCT,"15,001 kms",Petrol,Automatic,1st Owner,2020,1451 cc,6 Seats,17 Lakh
150,Skoda Octavia Elegance 1.8 TSI AT,"55,000 kms",Petrol,Automatic,2nd Owner,2015,1798 cc,5 Seats,9.75 Lakh
151,Toyota Corolla Altis G,"38,000 kms",Petrol,Manual,1st Owner,2013,1798 cc,5 Seats,6.50 Lakh
152,Ford Endeavour 4x4 XLT,"1,10,000 kms",Diesel,Manual,2nd Owner,2005,2953 cc,7 Seats,4 Lakh
153,Honda Amaze S AT i-Vtech,"65,413 kms",Petrol,Automatic,1st Owner,2013,1198 cc,5 Seats,4.75 Lakh
154,Honda Jazz Mode,"45,000 kms",Petrol,Manual,2nd Owner,2009,1198 cc,5 Seats,2.80 Lakh
155,Ford Figo 1.2P Trend MT,"44,000 kms",Petrol,Manual,1st Owner,2017,1196 cc,5 Seats,4.30 Lakh
156,Hyundai Grand i10 1.2 Kappa Magna BSIV,"40,000 kms",Petrol,Manual,1st Owner,2017,1197 cc,5 Seats,4.90 Lakh
157,Ford Ecosport 1.5 Petrol Titanium AT,"49,000 kms",Petrol,Automatic,1st Owner,2016,1496 cc,5 Seats,6.51 Lakh
158,Mahindra Thar LX 4-Str Hard Top Diesel AT,"19,000 kms",Diesel,Automatic,1st Owner,2022,2184 cc,4 Seats,17.51 Lakh
159,Hyundai i20 Magna Optional 1.4 CRDi,"56,000 kms",Diesel,Manual,2nd Owner,2013,1396 cc,5 Seats,3.91 Lakh
160,Honda City 1.5 V MT,"65,000 kms",Petrol,Manual,2nd Owner,2010,1497 cc,5 Seats,3.75 Lakh
161,Toyota Etios G,"27,680 kms",Petrol,Manual,1st Owner,2013,1496 cc,5 Seats,4.90 Lakh
162,Kia Seltos GTX Plus AT D,"27,305 kms",Diesel,Automatic,1st Owner,2021,1493 cc,5 Seats,18.25 Lakh
163,BMW 3 Series 320d,"10,793 kms",Diesel,Automatic,1st Owner,2019,1995 cc,5 Seats,33 Lakh
164,BMW X3 xDrive 20d Luxury Line,"12,000 kms",Diesel,Automatic,1st Owner,2020,1995 cc,5 Seats,56 Lakh
165,MG Hector Sharp DCT,"44,000 kms",Petrol,Automatic,1st Owner,2019,1451 cc,5 Seats,14.99 Lakh
166,Kia Seltos HTK G,"63,000 kms",Petrol,Manual,1st Owner,2020,1497 cc,5 Seats,11.99 Lakh
167,Hyundai i20 Sportz Plus Diesel,"87,000 kms",Diesel,Manual,1st Owner,2019,1396 cc,5 Seats,6.50 Lakh
168,Maruti Alto LXi,"61,000 kms",Petrol,Manual,1st Owner,2010,796 cc,5 Seats,1.90 Lakh
169,Hyundai i20 Sportz Option 1.4 CRDi,"72,000 kms",Diesel,Manual,1st Owner,2016,1396 cc,5 Seats,6.25 Lakh
170,Audi A4 2.0 TDI Multitronic,"70,000 kms",Diesel,Automatic,1st Owner,2015,1968 cc,5 Seats,16.51 Lakh
171,Nissan Micra Diesel XV,"58,000 kms",Diesel,Manual,2nd Owner,2012,1461 cc,5 Seats,2.25 Lakh
172,Honda Jazz Active,"90,000 kms",Petrol,Manual,3rd Owner,2009,1198 cc,5 Seats,1.30 Lakh
173,Honda City VX MT,"19,000 kms",Petrol,Manual,1st Owner,2022,1497 cc,5 Seats,12.50 Lakh
174,Toyota Corolla Altis G AT,"72,159 kms",Petrol,Automatic,1st Owner,2014,1798 cc,5 Seats,9.25 Lakh
175,Ford Ecosport 1.5 DV5 MT Titanium,"78,000 kms",Diesel,Manual,1st Owner,2015,1498 cc,5 Seats,5.90 Lakh
176,Ford Ecosport 1.5 Diesel Titanium BSIV,"58,000 kms",Diesel,Manual,1st Owner,2018,1498 cc,5 Seats,6.90 Lakh
177,Ford Ecosport 1.5 Diesel Titanium Plus BSIV,"72,000 kms",Diesel,Manual,1st Owner,2018,1498 cc,5 Seats,8.90 Lakh
178,Land Rover Range Rover Evoque 2.0 TD4 SE,"56,000 kms",Diesel,Automatic,1st Owner,2018,1999 cc,5 Seats,42.50 Lakh
179,Nissan Micra Diesel XV,"73,000 kms",Diesel,Manual,1st Owner,2012,1461 cc,5 Seats,2.90 Lakh
180,Hyundai Creta 1.6 VTVT S,"28,840 kms",Petrol,Manual,1st Owner,2016,1591 cc,5 Seats,8.90 Lakh
181,Maruti Swift Dzire AMT ZXI,"51,500 kms",Petrol,Automatic,1st Owner,2019,1197 cc,5 Seats,6.90 Lakh
182,Maruti S-Presso VXI Plus AT 2019-2022,"41,370 kms",Petrol,Automatic,1st Owner,2020,998 cc,5 Seats,4.80 Lakh
183,Hyundai Creta 1.6 VTVT S,"41,266 kms",Petrol,Manual,1st Owner,2016,1591 cc,5 Seats,8.75 Lakh
184,Hyundai Verna VTVT 1.6 AT SX Option,"31,740 kms",Petrol,Automatic,1st Owner,2018,1591 cc,5 Seats,9.90 Lakh
185,Maruti Ciaz VXi Plus,"77,876 kms",Petrol,Manual,1st Owner,2015,1373 cc,5 Seats,6.15 Lakh
186,Skoda Kushaq 1.5 TSI Style,"9,500 kms",Petrol,Manual,1st Owner,2022,1498 cc,5 Seats,20.50 Lakh
187,Hyundai Grand i10 1.2 Kappa Sportz Option AT,"28,387 kms",Petrol,Automatic,1st Owner,2019,1197 cc,5 Seats,6.25 Lakh
188,Mercedes-Benz M-Class ML 350 CDI,"1,20,000 kms",Diesel,Automatic,2nd Owner,2015,2987 cc,5 Seats,27 Lakh
189,Hyundai Grand i10 Magna,"20,000 kms",Petrol,Manual,2nd Owner,2017,1197 cc,5 Seats,4.50 Lakh
190,Mercedes-Benz C-Class Progressive C 220d,"30,686 kms",Diesel,Automatic,1st Owner,2020,1950 cc,5 Seats,42.50 Lakh
191,Tata Indica eV2 DL BSIII,"1,20,000 kms",Diesel,Manual,2nd Owner,2013,1396 cc,5 Seats,1 Lakh
192,Mahindra Bolero Power Plus SLE,"1,84,000 kms",Diesel,Manual,2nd Owner,2018,1493 cc,7 Seats,6 Lakh
193,Honda City 1.5 S AT,"40,000 kms",Petrol,Automatic,1st Owner,2009,1497 cc,5 Seats,4 Lakh
194,Maruti Ciaz Delta Diesel,"55,000 kms",Diesel,Manual,1st Owner,2015,1248 cc,5 Seats,6.25 Lakh
195,Hyundai Grand i10 1.2 Kappa Sportz Option,"38,000 kms",Petrol,Manual,1st Owner,2019,1197 cc,5 Seats,5.75 Lakh
196,Audi Q3 30 TFSI Premium FWD,"40,000 kms",Petrol,Automatic,1st Owner,2017,1395 cc,5 Seats,23.50 Lakh
197,Hyundai Santro GS zipDrive - Euro II,"60,000 kms",Petrol,Manual,2nd Owner,2006,999 cc,5 Seats,1.35 Lakh
198,Mahindra Bolero SLX,"1,10,000 kms",Diesel,Manual,3rd Owner,2009,2523 cc,7 Seats,3 Lakh
199,Maruti Swift LDI,"1,43,000 kms",Diesel,Manual,2nd Owner,2011,1248 cc,5 Seats,2.10 Lakh
200,Tata Indica Aqua 1.3 Quadrajet BSIV,"1,10,000 kms",Diesel,Manual,3rd Owner,2012,1248 cc,5 Seats,1.25 Lakh
201,Mahindra KUV 100 mFALCON D75 K4 Plus,"58,000 kms",Diesel,Manual,1st Owner,2017,1198 cc,6 Seats,4.75 Lakh
202,Honda City i VTEC SV,"65,000 kms",Petrol,Manual,2nd Owner,2014,1497 cc,5 Seats,5.50 Lakh
203,Tata Harrier XZ Plus,"50,000 kms",Diesel,Manual,1st Owner,2021,1956 cc,5 Seats,17 Lakh
204,Tata Zest Revotron 1.2 XT,"55,000 kms",Petrol,Manual,1st Owner,2015,1193 cc,5 Seats,3.49 Lakh
205,Land Rover Discovery Sport R-Dynamic SE Diesel,"19,500 kms",Diesel,Automatic,1st Owner,2021,1999 cc,7 Seats,70 Lakh
